run,transformation_id,family,n_samples,raw_rate,retention,ci95_lo,ci95_hi
betterleaks/default,T6.4,contextual,810,0.7778,0.7778,0.7778,0.7778
betterleaks/default,T7.1,composition,270,0.0259,0.0259,0.0111,0.0444
betterleaks/default,T7.2,composition,270,0.0000,0.0000,0.0000,0.0000
betterleaks/decode,T0.0,control,810,0.9889,1.0000,1.0000,1.0000
betterleaks/decode,T1.1,encoding,810,0.9901,0.9901,0.9827,0.9963
betterleaks/decode,T1.2,encoding,810,0.6506,0.6556,0.6469,0.6617
betterleaks/decode,T1.3,encoding,810,0.0086,0.0088,0.0037,0.0161
betterleaks/decode,T1.4,encoding,810,0.9852,0.9961,0.9848,1.0000
betterleaks/decode,T1.5,encoding,810,0.9926,0.9987,0.9913,1.0000
betterleaks/decode,T1.6,encoding,810,0.6494,0.6592,0.6479,0.6642
betterleaks/decode,T1.7,encoding,810,0.6333,0.6415,0.6284,0.6529
betterleaks/decode,T2.1,multi_encoding,810,0.9914,0.9914,0.9852,0.9963
betterleaks/decode,T2.2,multi_encoding,810,0.9864,0.9864,0.9790,0.9938
betterleaks/decode,T2.3,multi_encoding,810,0.9889,0.9889,0.9815,0.9951
betterleaks/decode,T3.1,splitting,270,0.1593,0.1622,0.1200,0.2035
betterleaks/decode,T3.2,splitting,270,0.0333,0.0333,0.0148,0.0556
betterleaks/decode,T3.3,splitting,270,0.0000,0.0000,0.0000,0.0000
betterleaks/decode,T3.4,splitting,270,0.0296,0.0296,0.0111,0.0481
betterleaks/decode,T3.5,splitting,270,0.0148,0.0148,0.0037,0.0296
betterleaks/decode,T4.3,char_format,270,0.0000,0.0000,0.0000,0.0000
betterleaks/decode,T4.5,char_format,810,0.0000,0.0000,0.0000,0.0000
betterleaks/decode,T5.1,indirection,270,0.6556,0.6630,0.6492,0.6667
betterleaks/decode,T5.2,indirection,270,0.0000,0.0000,0.0000,0.0000
betterleaks/decode,T6.1,contextual,810,0.7778,0.7778,0.7778,0.7778
betterleaks/decode,T6.4,contextual,810,0.7778,0.7778,0.7778,0.7778
betterleaks/decode,T7.1,composition,270,0.0444,0.0444,0.0222,0.0704
betterleaks/decode,T7.2,composition,270,0.0000,0.0000,0.0000,0.0000
trufflehog/default,T0.0,control,810,0.4432,1.0000,1.0000,1.0000
trufflehog/default,T1.1,encoding,810,0.4432,0.9944,0.9861,1.0000
trufflehog/default,T1.2,encoding,810,0.1481,0.1667,0.1667,0.1667
trufflehog/default,T1.3,encoding,810,0.0000,0.0000,0.0000,0.0000
trufflehog/default,T1.4,encoding,810,0.0000,0.0000,0.0000,0.0000
trufflehog/default,T1.5,encoding,810,0.4444,1.0000,1.0000,1.0000
trufflehog/default,T1.6,encoding,810,0.0000,0.0000,0.0000,0.0000
trufflehog/default,T1.7,encoding,810,0.0000,0.0000,0.0000,0.0000
trufflehog/default,T2.1,multi_encoding,810,0.4420,0.9944,0.9861,1.0000
trufflehog/default,T2.2,multi_encoding,810,0.4444,1.0000,1.0000,1.0000
trufflehog/default,T2.3,multi_encoding,810,0.0000,0.0000,0.0000,0.0000
trufflehog/default,T3.1,splitting,270,0.0185,0.0421,0.0085,0.0776
trufflehog/default,T3.2,splitting,270,0.0259,0.0590,0.0250,0.1000
trufflehog/default,T3.3,splitting,270,0.0000,0.0000,0.0000,0.0000
trufflehog/default,T3.4,splitting,270,0.0222,0.0506,0.0169,0.0917
trufflehog/default,T3.5,splitting,270,0.0074,0.0169,0.0000,0.0421
trufflehog/default,T4.3,char_format,270,0.0000,0.0000,0.0000,0.0000
trufflehog/default,T4.5,char_format,810,0.0000,0.0000,0.0000,0.0000
trufflehog/default,T5.1,indirection,270,0.0000,0.0000,0.0000,0.0000
trufflehog/default,T5.2,indirection,270,0.0000,0.0000,0.0000,0.0000
trufflehog/default,T6.1,contextual,810,0.4432,0.9972,0.9917,1.0000
trufflehog/default,T6.4,contextual,810,0.4420,0.9944,0.9861,1.0000
trufflehog/default,T7.1,composition,270,0.0037,0.0084,0.0000,0.0256
trufflehog/default,T7.2,composition,270,0.0000,0.0000,0.0000,0.0000
detect-secrets/default,T0.0,control,810,0.9802,1.0000,1.0000,1.0000
detect-secrets/default,T1.1,encoding,810,0.8210,0.8210,0.8099,0.8321
detect-secrets/default,T1.2,encoding,810,0.7506,0.7531,0.7420,0.7630
detect-secrets/default,T1.3,encoding,810,0.3864,0.3864,0.3728,0.4000
detect-secrets/default,T1.4,encoding,810,0.8889,0.8889,0.8889,0.8889
detect-secrets/default,T1.5,encoding,810,0.9469,0.9651,0.9489,0.9778
detect-secrets/default,T1.6,encoding,810,0.6506,0.6654,0.6572,0.6667
detect-secrets/default,T1.7,encoding,810,0.8889,0.8889,0.8889,0.8889
detect-secrets/default,T2.1,multi_encoding,810,0.8864,0.8864,0.8827,0.8889
detect-secrets/default,T2.2,multi_encoding,810,0.8889,0.8889,0.8889,0.8889
detect-secrets/default,T2.3,multi_encoding,810,0.8889,0.8889,0.8889,0.8889
detect-secrets/default,T3.1,splitting,270,0.5741,0.5757,0.5426,0.6065
detect-secrets/default,T3.2,splitting,270,0.1815,0.1839,0.1533,0.2152
detect-secrets/default,T3.3,splitting,270,0.0000,0.0000,0.0000,0.0000
detect-secrets/default,T3.4,splitting,270,0.0000,0.0000,0.0000,0.0000
detect-secrets/default,T3.5,splitting,270,0.0593,0.0593,0.0370,0.0852
detect-secrets/default,T4.3,char_format,270,0.0000,0.0000,0.0000,0.0000
detect-secrets/default,T4.5,char_format,810,0.4395,0.4395,0.4346,0.4432
detect-secrets/default,T5.1,indirection,270,0.7593,0.7778,0.7583,0.7778
detect-secrets/default,T5.2,indirection,270,0.0000,0.0000,0.0000,0.0000
detect-secrets/default,T6.1,contextual,810,0.9284,0.9476,0.9290,0.9617
detect-secrets/default,T6.4,contextual,810,0.9259,0.9432,0.9272,0.9543
detect-secrets/default,T7.1,composition,270,0.0000,0.0000,0.0000,0.0000
detect-secrets/default,T7.2,composition,270,0.0000,0.0000,0.0000,0.0000
