run,secret_type,family,n_samples,detection_rate,ceiling,ratio_uncapped,retention_capped
trufflehog/default,google_api_key,multi_encoding,270,0.0000,0.0000,,
trufflehog/default,google_api_key,splitting,150,0.0000,0.0000,,
trufflehog/default,jwt,char_format,120,0.0000,0.0000,,
trufflehog/default,jwt,composition,60,0.0000,0.0000,,
trufflehog/default,jwt,contextual,180,0.0000,0.0000,,
trufflehog/default,jwt,control,90,0.0000,0.0000,,
trufflehog/default,jwt,encoding,630,0.0000,0.0000,,
trufflehog/default,jwt,indirection,60,0.0000,0.0000,,
trufflehog/default,jwt,multi_encoding,270,0.0000,0.0000,,
trufflehog/default,jwt,splitting,150,0.0000,0.0000,,
trufflehog/default,slack_bot_token,char_format,120,0.0000,0.9889,0.0000,0.0000
trufflehog/default,slack_bot_token,composition,60,0.0167,0.9889,0.0169,0.0169
trufflehog/default,slack_bot_token,contextual,180,1.0000,0.9889,1.0112,1.0000
trufflehog/default,slack_bot_token,control,90,0.9889,0.9889,1.0000,1.0000
trufflehog/default,slack_bot_token,encoding,630,0.2857,0.9889,0.2889,0.2889
trufflehog/default,slack_bot_token,indirection,60,0.0000,0.9889,0.0000,0.0000
trufflehog/default,slack_bot_token,multi_encoding,270,0.6667,0.9889,0.6742,0.6742
trufflehog/default,slack_bot_token,splitting,150,0.1333,0.9889,0.1348,0.1348
trufflehog/default,stripe_secret_key,char_format,120,0.0000,1.0000,0.0000,0.0000
trufflehog/default,stripe_secret_key,composition,60,0.0000,1.0000,0.0000,0.0000
trufflehog/default,stripe_secret_key,contextual,180,1.0000,1.0000,1.0000,1.0000
trufflehog/default,stripe_secret_key,control,90,1.0000,1.0000,1.0000,1.0000
trufflehog/default,stripe_secret_key,encoding,630,0.2857,1.0000,0.2857,0.2857
trufflehog/default,stripe_secret_key,indirection,60,0.0000,1.0000,0.0000,0.0000
trufflehog/default,stripe_secret_key,multi_encoding,270,0.6667,1.0000,0.6667,0.6667
trufflehog/default,stripe_secret_key,splitting,150,0.0000,1.0000,0.0000,0.0000
detect-secrets/default,aws_access_key_id,char_format,120,0.0000,1.0000,0.0000,0.0000
detect-secrets/default,aws_access_key_id,composition,60,0.0000,1.0000,0.0000,0.0000
detect-secrets/default,aws_access_key_id,contextual,180,1.0000,1.0000,1.0000,1.0000
detect-secrets/default,aws_access_key_id,control,90,1.0000,1.0000,1.0000,1.0000
detect-secrets/default,aws_access_key_id,encoding,630,0.2857,1.0000,0.2857,0.2857
detect-secrets/default,aws_access_key_id,indirection,60,0.0000,1.0000,0.0000,0.0000
detect-secrets/default,aws_access_key_id,multi_encoding,270,0.0000,1.0000,0.0000,0.0000
detect-secrets/default,aws_access_key_id,splitting,150,0.0000,1.0000,0.0000,0.0000
detect-secrets/default,aws_keypair,char_format,120,0.7333,1.0000,0.7333,0.7333
detect-secrets/default,aws_keypair,composition,60,0.0000,1.0000,0.0000,0.0000
detect-secrets/default,aws_keypair,contextual,180,0.9778,1.0000,0.9778,0.9778
detect-secrets/default,aws_keypair,control,90,1.0000,1.0000,1.0000,1.0000
detect-secrets/default,aws_keypair,encoding,630,0.9746,1.0000,0.9746,0.9746
detect-secrets/default,aws_keypair,indirection,60,0.5000,1.0000,0.5000,0.5000
detect-secrets/default,aws_keypair,multi_encoding,270,1.0000,1.0000,1.0000,1.0000
detect-secrets/default,aws_keypair,splitting,150,0.2067,1.0000,0.2067,0.2067
detect-secrets/default,aws_secret_access_key,char_format,120,0.7333,1.0000,0.7333,0.7333
detect-secrets/default,aws_secret_access_key,composition,60,0.0000,1.0000,0.0000,0.0000
detect-secrets/default,aws_secret_access_key,contextual,180,0.9889,1.0000,0.9889,0.9889
detect-secrets/default,aws_secret_access_key,control,90,1.0000,1.0000,1.0000,1.0000
detect-secrets/default,aws_secret_access_key,encoding,630,0.9508,1.0000,0.9508,0.9508
detect-secrets/default,aws_secret_access_key,indirection,60,0.5000,1.0000,0.5000,0.5000
detect-secrets/default,aws_secret_access_key,multi_encoding,270,1.0000,1.0000,1.0000,1.0000
detect-secrets/default,aws_secret_access_key,splitting,150,0.2000,1.0000,0.2000,0.2000
detect-secrets/default,generic_hex_token,char_format,120,0.0000,1.0000,0.0000,0.0000
detect-secrets/default,generic_hex_token,composition,60,0.0000,1.0000,0.0000,0.0000
detect-secrets/default,generic_hex_token,contextual,180,1.0000,1.0000,1.0000,1.0000
detect-secrets/default,generic_hex_token,control,90,1.0000,1.0000,1.0000,1.0000
detect-secrets/default,generic_hex_token,encoding,630,0.3444,1.0000,0.3444,0.3444
detect-secrets/default,generic_hex_token,indirection,60,0.5000,1.0000,0.5000,0.5000
detect-secrets/default,generic_hex_token,multi_encoding,270,0.9926,1.0000,0.9926,0.9926
detect-secrets/default,generic_hex_token,splitting,150,0.4733,1.0000,0.4733,0.4733
detect-secrets/default,github_pat,char_format,120,0.0000,1.0000,0.0000,0.0000
detect-secrets/default,github_pat,composition,60,0.0000,1.0000,0.0000,0.0000
detect-secrets/default,github_pat,contextual,180,1.0000,1.0000,1.0000,1.0000
detect-secrets/default,github_pat,control,90,1.0000,1.0000,1.0000,1.0000
detect-secrets/default,github_pat,encoding,630,0.8206,1.0000,0.8206,0.8206
detect-secrets/default,github_pat,indirection,60,0.5000,1.0000,0.5000,0.5000
detect-secrets/default,github_pat,multi_encoding,270,1.0000,1.0000,1.0000,1.0000
detect-secrets/default,github_pat,splitting,150,0.0333,1.0000,0.0333,0.0333
detect-secrets/default,google_api_key,char_format,120,0.7500,1.0000,0.7500,0.7500
detect-secrets/default,google_api_key,composition,60,0.0000,1.0000,0.0000,0.0000
detect-secrets/default,google_api_key,contextual,180,0.9667,1.0000,0.9667,0.9667
detect-secrets/default,google_api_key,control,90,1.0000,1.0000,1.0000,1.0000
detect-secrets/default,google_api_key,encoding,630,0.9825,1.0000,0.9825,0.9825
detect-secrets/default,google_api_key,indirection,60,0.5000,1.0000,0.5000,0.5000
detect-secrets/default,google_api_key,multi_encoding,270,1.0000,1.0000,1.0000,1.0000
detect-secrets/default,google_api_key,splitting,150,0.2000,1.0000,0.2000,0.2000
detect-secrets/default,jwt,char_format,120,0.0000,1.0000,0.0000,0.0000
detect-secrets/default,jwt,composition,60,0.0000,1.0000,0.0000,0.0000
detect-secrets/default,jwt,contextual,180,1.0000,1.0000,1.0000,1.0000
detect-secrets/default,jwt,control,90,1.0000,1.0000,1.0000,1.0000
detect-secrets/default,jwt,encoding,630,0.7143,1.0000,0.7143,0.7143
detect-secrets/default,jwt,indirection,60,0.0000,1.0000,0.0000,0.0000
detect-secrets/default,jwt,multi_encoding,270,1.0000,1.0000,1.0000,1.0000
detect-secrets/default,jwt,splitting,150,0.1267,1.0000,0.1267,0.1267
detect-secrets/default,slack_bot_token,char_format,120,0.0000,0.8222,0.0000,0.0000
detect-secrets/default,slack_bot_token,composition,60,0.0000,0.8222,0.0000,0.0000
detect-secrets/default,slack_bot_token,contextual,180,0.8222,0.8222,1.0000,1.0000
detect-secrets/default,slack_bot_token,control,90,0.8222,0.8222,1.0000,1.0000
detect-secrets/default,slack_bot_token,encoding,630,0.8000,0.8222,0.9730,0.9730
detect-secrets/default,slack_bot_token,indirection,60,0.4167,0.8222,0.5068,0.5068
detect-secrets/default,slack_bot_token,multi_encoding,270,1.0000,0.8222,1.2162,1.0000
detect-secrets/default,slack_bot_token,splitting,150,0.0333,0.8222,0.0405,0.0405
detect-secrets/default,stripe_secret_key,char_format,120,0.7500,1.0000,0.7500,0.7500
detect-secrets/default,stripe_secret_key,composition,60,0.0000,1.0000,0.0000,0.0000
detect-secrets/default,stripe_secret_key,contextual,180,0.5889,1.0000,0.5889,0.5889
detect-secrets/default,stripe_secret_key,control,90,1.0000,1.0000,1.0000,1.0000
detect-secrets/default,stripe_secret_key,encoding,630,0.9841,1.0000,0.9841,0.9841
detect-secrets/default,stripe_secret_key,indirection,60,0.5000,1.0000,0.5000,0.5000
detect-secrets/default,stripe_secret_key,multi_encoding,270,1.0000,1.0000,1.0000,1.0000
detect-secrets/default,stripe_secret_key,splitting,150,0.1933,1.0000,0.1933,0.1933
