run,secret_type,family,n_samples,detection_rate,ceiling,ratio_uncapped,retention_capped
gitleaks/decode,aws_access_key_id,encoding,630,0.4159,1.0000,0.4159,0.4159
gitleaks/decode,aws_access_key_id,indirection,60,0.0000,1.0000,0.0000,0.0000
gitleaks/decode,aws_access_key_id,multi_encoding,270,0.9037,1.0000,0.9037,0.9037
gitleaks/decode,aws_access_key_id,splitting,150,0.0000,1.0000,0.0000,0.0000
gitleaks/decode,aws_keypair,char_format,120,0.0000,1.0000,0.0000,0.0000
gitleaks/decode,aws_keypair,composition,60,0.0000,1.0000,0.0000,0.0000
gitleaks/decode,aws_keypair,contextual,180,1.0000,1.0000,1.0000,1.0000
gitleaks/decode,aws_keypair,control,90,1.0000,1.0000,1.0000,1.0000
gitleaks/decode,aws_keypair,encoding,630,0.8429,1.0000,0.8429,0.8429
gitleaks/decode,aws_keypair,indirection,60,0.5000,1.0000,0.5000,0.5000
gitleaks/decode,aws_keypair,multi_encoding,270,1.0000,1.0000,1.0000,1.0000
gitleaks/decode,aws_keypair,splitting,150,0.0467,1.0000,0.0467,0.0467
gitleaks/decode,aws_secret_access_key,char_format,120,0.0000,0.9444,0.0000,0.0000
gitleaks/decode,aws_secret_access_key,composition,60,0.0000,0.9444,0.0000,0.0000
gitleaks/decode,aws_secret_access_key,contextual,180,0.0000,0.9444,0.0000,0.0000
gitleaks/decode,aws_secret_access_key,control,90,0.9444,0.9444,1.0000,1.0000
gitleaks/decode,aws_secret_access_key,encoding,630,0.8381,0.9444,0.8874,0.8874
gitleaks/decode,aws_secret_access_key,indirection,60,0.4833,0.9444,0.5118,0.5118
gitleaks/decode,aws_secret_access_key,multi_encoding,270,1.0000,0.9444,1.0588,1.0000
gitleaks/decode,aws_secret_access_key,splitting,150,0.0733,0.9444,0.0776,0.0776
gitleaks/decode,generic_hex_token,char_format,120,0.0000,0.9556,0.0000,0.0000
gitleaks/decode,generic_hex_token,composition,60,0.0000,0.9556,0.0000,0.0000
gitleaks/decode,generic_hex_token,contextual,180,0.0000,0.9556,0.0000,0.0000
gitleaks/decode,generic_hex_token,control,90,0.9556,0.9556,1.0000,1.0000
gitleaks/decode,generic_hex_token,encoding,630,0.8286,0.9556,0.8671,0.8671
gitleaks/decode,generic_hex_token,indirection,60,0.4833,0.9556,0.5058,0.5058
gitleaks/decode,generic_hex_token,multi_encoding,270,1.0000,0.9556,1.0465,1.0000
gitleaks/decode,generic_hex_token,splitting,150,0.0200,0.9556,0.0209,0.0209
gitleaks/decode,github_pat,char_format,120,0.0000,1.0000,0.0000,0.0000
gitleaks/decode,github_pat,composition,60,0.0000,1.0000,0.0000,0.0000
gitleaks/decode,github_pat,contextual,180,1.0000,1.0000,1.0000,1.0000
gitleaks/decode,github_pat,control,90,1.0000,1.0000,1.0000,1.0000
gitleaks/decode,github_pat,encoding,630,0.4286,1.0000,0.4286,0.4286
gitleaks/decode,github_pat,indirection,60,0.0000,1.0000,0.0000,0.0000
gitleaks/decode,github_pat,multi_encoding,270,0.9963,1.0000,0.9963,0.9963
gitleaks/decode,github_pat,splitting,150,0.0000,1.0000,0.0000,0.0000
gitleaks/decode,google_api_key,char_format,120,0.0000,1.0000,0.0000,0.0000
gitleaks/decode,google_api_key,composition,60,0.0000,1.0000,0.0000,0.0000
gitleaks/decode,google_api_key,contextual,180,1.0000,1.0000,1.0000,1.0000
gitleaks/decode,google_api_key,control,90,1.0000,1.0000,1.0000,1.0000
gitleaks/decode,google_api_key,encoding,630,0.8508,1.0000,0.8508,0.8508
gitleaks/decode,google_api_key,indirection,60,0.5000,1.0000,0.5000,0.5000
gitleaks/decode,google_api_key,multi_encoding,270,1.0000,1.0000,1.0000,1.0000
